"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Average price All property types","Pivotable date"
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2019-09,6866,monthly,155723,2019-09-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2019-10,6992,monthly,187487,2019-10-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2019-10,74620,monthly,234940,2019-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-10,7901,monthly,506016,2019-10-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2019-10,10330,monthly,155204,2019-10-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2019-10,7618,monthly,156458,2019-10-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2019-11,7285,monthly,187649,2019-11-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2019-11,76702,monthly,234020,2019-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-11,7833,monthly,501829,2019-11-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2019-11,10721,monthly,154553,2019-11-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2019-11,7834,monthly,155187,2019-11-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2019-12,6548,monthly,187279,2019-12-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2019-12,70541,monthly,234237,2019-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2019-12,7107,monthly,512959,2019-12-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2019-12,9462,monthly,153685,2019-12-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2019-12,7313,monthly,155920,2019-12-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2020-01,5049,monthly,187868,2020-01-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2020-01,56603,monthly,234049,2020-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-01,6527,monthly,509527,2020-01-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2020-01,7795,monthly,153141,2020-01-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2020-01,5838,monthly,154883,2020-01-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2020-02,5326,monthly,186308,2020-02-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2020-02,56568,monthly,232955,2020-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-02,6465,monthly,507956,2020-02-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2020-02,7806,monthly,153325,2020-02-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2020-02,5569,monthly,154695,2020-02-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2020-03,5233,monthly,188446,2020-03-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2020-03,57626,monthly,235204,2020-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-03,6842,monthly,516654,2020-03-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2020-03,7883,monthly,155025,2020-03-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2020-03,5554,monthly,155643,2020-03-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2020-04,2128,monthly,187949,2020-04-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2020-04,23673,monthly,232657,2020-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-04,3206,monthly,509754,2020-04-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2020-04,3162,monthly,152528,2020-04-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2020-04,2341,monthly,150730,2020-04-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2020-05,3185,monthly,187382,2020-05-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2020-05,30798,monthly,233673,2020-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-05,2929,monthly,506613,2020-05-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2020-05,4431,monthly,152857,2020-05-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2020-05,3337,monthly,155276,2020-05-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2020-06,4677,monthly,191136,2020-06-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2020-06,46664,monthly,236731,2020-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-06,4511,monthly,513833,2020-06-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2020-06,6449,monthly,157055,2020-06-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2020-06,5015,monthly,158072,2020-06-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2020-07,5127,monthly,193004,2020-07-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2020-07,54524,monthly,239080,2020-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-07,5988,monthly,517966,2020-07-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2020-07,7407,monthly,159413,2020-07-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2020-07,5531,monthly,158824,2020-07-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2020-08,5292,monthly,193470,2020-08-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2020-08,56476,monthly,241511,2020-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-08,6148,monthly,523954,2020-08-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2020-08,7879,monthly,161286,2020-08-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2020-08,5861,monthly,160951,2020-08-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2020-09,5673,monthly,194142,2020-09-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2020-09,62864,monthly,243733,2020-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-09,7087,monthly,528003,2020-09-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2020-09,8791,monthly,162250,2020-09-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2020-09,6532,monthly,161730,2020-09-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2020-10,7147,monthly,196846,2020-10-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2020-10,77907,monthly,245090,2020-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-10,8083,monthly,520515,2020-10-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2020-10,10568,monthly,165484,2020-10-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2020-10,8211,monthly,164114,2020-10-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2020-11,7067,monthly,199379,2020-11-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2020-11,76747,monthly,247749,2020-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-11,7825,monthly,529444,2020-11-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2020-11,10429,monthly,166199,2020-11-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2020-11,7884,monthly,167676,2020-11-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2020-12,7696,monthly,201798,2020-12-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2020-12,85705,monthly,250168,2020-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2020-12,9201,monthly,529060,2020-12-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2020-12,11097,monthly,169085,2020-12-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2020-12,8328,monthly,168778,2020-12-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2021-01,6122,monthly,202133,2021-01-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2021-01,70906,monthly,249890,2021-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2021-01,8030,monthly,529101,2021-01-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2021-01,9044,monthly,170526,2021-01-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2021-01,6660,monthly,170388,2021-01-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2021-02,8032,monthly,204514,2021-02-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2021-02,90060,monthly,251309,2021-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2021-02,10070,monthly,525153,2021-02-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2021-02,11431,monthly,173134,2021-02-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2021-02,8404,monthly,171334,2021-02-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2021-03,10789,monthly,205588,2021-03-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2021-03,128525,monthly,254407,2021-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2021-03,16466,monthly,534311,2021-03-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2021-03,15003,monthly,175992,2021-03-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2021-03,11158,monthly,172745,2021-03-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2021-04,7545,monthly,202601,2021-04-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2021-04,82173,monthly,250703,2021-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2021-04,9151,monthly,523423,2021-04-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2021-04,10414,monthly,172587,2021-04-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2021-04,8005,monthly,169361,2021-04-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2021-05,6663,monthly,203546,2021-05-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2021-05,71336,monthly,251203,2021-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2021-05,7696,monthly,522672,2021-05-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2021-05,9652,monthly,172994,2021-05-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2021-05,7225,monthly,171213,2021-05-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2021-06,12713,monthly,215392,2021-06-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2021-06,162673,monthly,266129,2021-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2021-06,26412,monthly,538199,2021-06-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2021-06,17317,monthly,187330,2021-06-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2021-06,12697,monthly,184117,2021-06-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2021-07,5821,monthly,202813,2021-07-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2021-07,52302,monthly,250545,2021-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2021-07,3030,monthly,529788,2021-07-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2021-07,8974,monthly,171845,2021-07-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2021-07,6580,monthly,169009,2021-07-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2021-08,7257,monthly,209343,2021-08-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2021-08,71786,monthly,259193,2021-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2021-08,6063,monthly,545831,2021-08-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2021-08,10651,monthly,178467,2021-08-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2021-08,7770,monthly,174892,2021-08-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2021-09,11848,monthly,217444,2021-09-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2021-09,125654,monthly,268041,2021-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2021-09,12748,monthly,541876,2021-09-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2021-09,16386,monthly,187266,2021-09-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2021-09,12331,monthly,183852,2021-09-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2021-10,5187,monthly,212790,2021-10-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2021-10,53907,monthly,259748,2021-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2021-10,4935,monthly,539606,2021-10-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2021-10,8055,monthly,177157,2021-10-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2021-10,5880,monthly,173741,2021-10-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2021-11,6341,monthly,216112,2021-11-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2021-11,68044,monthly,265662,2021-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2021-11,6837,monthly,547647,2021-11-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2021-11,9761,monthly,182712,2021-11-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2021-11,6999,monthly,179074,2021-11-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2021-12,7198,monthly,218318,2021-12-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2021-12,76166,monthly,267793,2021-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2021-12,7655,monthly,547837,2021-12-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2021-12,10645,monthly,185573,2021-12-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2021-12,7645,monthly,180680,2021-12-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2022-01,5288,monthly,219956,2022-01-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2022-01,57602,monthly,270231,2022-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2022-01,6363,monthly,550635,2022-01-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2022-01,7910,monthly,186704,2022-01-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2022-01,5843,monthly,182226,2022-01-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2022-02,6316,monthly,221012,2022-02-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2022-02,66048,monthly,271265,2022-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2022-02,7143,monthly,551066,2022-02-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2022-02,8905,monthly,187066,2022-02-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2022-02,6799,monthly,183698,2022-02-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2022-03,6979,monthly,222760,2022-03-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2022-03,75440,monthly,272225,2022-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2022-03,8630,monthly,550480,2022-03-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2022-03,10287,monthly,187958,2022-03-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2022-03,7111,monthly,183085,2022-03-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2022-04,6550,monthly,224769,2022-04-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2022-04,68234,monthly,274812,2022-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2022-04,7432,monthly,554765,2022-04-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2022-04,9370,monthly,191021,2022-04-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2022-04,7018,monthly,184986,2022-04-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2022-05,6531,monthly,226878,2022-05-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2022-05,68223,monthly,278084,2022-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2022-05,7768,monthly,554380,2022-05-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2022-05,9159,monthly,192942,2022-05-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2022-05,6765,monthly,189205,2022-05-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2022-06,6922,monthly,231038,2022-06-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2022-06,71809,monthly,281116,2022-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2022-06,8528,monthly,572418,2022-06-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2022-06,9379,monthly,194417,2022-06-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2022-06,7211,monthly,190937,2022-06-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2022-07,7077,monthly,233487,2022-07-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2022-07,76486,monthly,286526,2022-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2022-07,9356,monthly,575261,2022-07-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2022-07,10309,monthly,199323,2022-07-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2022-07,7577,monthly,194228,2022-07-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2022-08,7176,monthly,237151,2022-08-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2022-08,79111,monthly,289294,2022-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2022-08,9432,monthly,581320,2022-08-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2022-08,10338,monthly,200868,2022-08-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2022-08,7673,monthly,195533,2022-08-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2022-09,7281,monthly,236940,2022-09-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2022-09,79500,monthly,290185,2022-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2022-09,9508,monthly,579330,2022-09-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2022-09,10294,monthly,202921,2022-09-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2022-09,7744,monthly,196752,2022-09-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2022-10,6871,monthly,237264,2022-10-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2022-10,75912,monthly,289993,2022-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2022-10,8976,monthly,573946,2022-10-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2022-10,9928,monthly,202008,2022-10-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2022-10,7402,monthly,197361,2022-10-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2022-11,7058,monthly,237753,2022-11-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2022-11,77523,monthly,290003,2022-11-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2022-11,8978,monthly,575480,2022-11-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2022-11,10311,monthly,202872,2022-11-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2022-11,7852,monthly,198212,2022-11-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2022-12,6926,monthly,237956,2022-12-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2022-12,73294,monthly,288198,2022-12-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2022-12,8125,monthly,572384,2022-12-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2022-12,9553,monthly,200795,2022-12-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2022-12,7192,monthly,197647,2022-12-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2023-01,4422,monthly,235315,2023-01-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2023-01,50359,monthly,285817,2023-01-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2023-01,6046,monthly,570869,2023-01-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2023-01,6717,monthly,197527,2023-01-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2023-01,5112,monthly,191628,2023-01-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2023-02,4557,monthly,232456,2023-02-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2023-02,49837,monthly,283907,2023-02-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2023-02,5587,monthly,563875,2023-02-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2023-02,7027,monthly,196497,2023-02-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2023-02,5012,monthly,191681,2023-02-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2023-03,5422,monthly,229868,2023-03-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2023-03,57529,monthly,279592,2023-03-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2023-03,6571,monthly,555361,2023-03-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2023-03,7884,monthly,194453,2023-03-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2023-03,5879,monthly,187293,2023-03-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2023-04,3781,monthly,230965,2023-04-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2023-04,41002,monthly,280054,2023-04-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2023-04,4330,monthly,557147,2023-04-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2023-04,5696,monthly,194385,2023-04-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2023-04,4355,monthly,190374,2023-04-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2023-05,4337,monthly,229615,2023-05-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2023-05,44542,monthly,279846,2023-05-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2023-05,4835,monthly,554900,2023-05-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2023-05,6135,monthly,196419,2023-05-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2023-05,4536,monthly,189275,2023-05-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2023-06,5402,monthly,232790,2023-06-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2023-06,56427,monthly,281585,2023-06-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2023-06,6016,monthly,556107,2023-06-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2023-06,7426,monthly,197880,2023-06-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2023-06,6118,monthly,193446,2023-06-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2023-07,4752,monthly,233810,2023-07-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2023-07,52068,monthly,284246,2023-07-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2023-07,6043,monthly,559703,2023-07-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2023-07,7032,monthly,199014,2023-07-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2023-07,5472,monthly,195102,2023-07-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2023-08,5466,monthly,235914,2023-08-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2023-08,59192,monthly,285690,2023-08-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2023-08,6988,monthly,560630,2023-08-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2023-08,7895,monthly,200408,2023-08-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2023-08,6032,monthly,197800,2023-08-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2023-09,5092,monthly,233437,2023-09-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2023-09,57425,monthly,284428,2023-09-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2023-09,6912,monthly,565702,2023-09-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2023-09,7828,monthly,200657,2023-09-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2023-09,5808,monthly,194270,2023-09-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2023-10,5190,monthly,232325,2023-10-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,2023-10,55937,monthly,283147,2023-10-01
London,http://landregistry.data.gov.uk/id/region/london,E12000007,2023-10,6242,monthly,555122,2023-10-01
North West,http://landregistry.data.gov.uk/id/region/north-west,E12000002,2023-10,7685,monthly,200939,2023-10-01
Yorkshire and The Humber,http://landregistry.data.gov.uk/id/region/yorkshire-and-the-humber,E12000003,2023-10,5717,monthly,195381,2023-10-01
East Midlands,http://landregistry.data.gov.uk/id/region/east-midlands,E12000004,2023-11,5017,monthly,233029,2023-11-01
